Category,Label,State,Score,State_Id,Year
F_T,Puntaje Total,Aguascalientes,0.4429793676165045,MX-AGU,2018
F1,Factor 1: Límites al poder gubernamental,Aguascalientes,0.4589000460807467,MX-AGU,2018
F1_1,1.1 El poder legislativo local es un contrapeso eficaz del gobierno estatal,Aguascalientes,0.45420873333333334,MX-AGU,2018
F1_2,1.2 El poder judicial es un contrapeso eficaz del gobierno estatal,Aguascalientes,0.5220300578947368,MX-AGU,2018
F1_3,1.3 Los organismos de fiscalización y control son un contrapeso eficaz del gobierno estatal,Aguascalientes,0.3561403166666666,MX-AGU,2018
F1_3_1,1.3.1 La Auditoría Superior es un contrapeso eficaz,Aguascalientes,0.368421,MX-AGU,2018
F1_3_2,1.3.2 La Comisión de Derechos Humanos es un contrapeso eficaz,Aguascalientes,0.39999995,MX-AGU,2018
F1_3_3,1.3.3 La Contraloría es un contrapeso eficaz,Aguascalientes,0.3,MX-AGU,2018
F1_4,1.4 Los funcionarios del gobierno estatal son sancionados cuando abusan de sus funciones o no cumplen la normatividad,Aguascalientes,0.36964687692307685,MX-AGU,2018
F1_5,"1.5 La sociedad civil, los partidos politicos y la prensa son un contrapeso eficaz del gobierno estatal",Aguascalientes,0.6020174416666667,MX-AGU,2018
F1_5_1,1.5.1 La sociedad civil y los ciudadanos son un contrapeso eficaz del gobierno estatal,Aguascalientes,0.5918809,MX-AGU,2018
F1_5_2,1.5.2 La prensa es un contrapeso eficaz del gobierno estatal,Aguascalientes,0.691949225,MX-AGU,2018
F1_5_3,1.5.3 Los partidos políticos son como contrapeso eficaz del gobierno estatal,Aguascalientes,0.5222222,MX-AGU,2018
F1_6,"1.6 Las elecciones son libres, limpias y trasnparentes",Aguascalientes,0.44935685000000003,MX-AGU,2018
F2,Factor 2: Ausencia de corrupción,Aguascalientes,0.412812963201207,MX-AGU,2018
F2_1,2.1 Los funcionarios del poder ejecutivo estatal no incurren en actos de corrupción,Aguascalientes,0.3419765910148875,MX-AGU,2018
F2_1_1,2.1.1 Los funcionarios del gobierno estatal o municipal no se enriquecen ilicitamente ni incurren en actos de corrupcion en licitaciones y compras publicas (corrupcion a gran escala),Aguascalientes,0.2922254522222222,MX-AGU,2018
F2_1_2,2.1.2 Los funcionarios del gobierno estatal o municipal no solicitan sobornos ni incurren en actos de corrupcion en el ejercicio de sus funciones (corrupcion pequeña),Aguascalientes,0.3835868408224401,MX-AGU,2018
F2_1_3,2.1.3 Las personas perciben que los funcionarios del gobierno estatal o municipal no incurren en actos de corrupcion.,Aguascalientes,0.35011748000000004,MX-AGU,2018
F2_2,2.2 Los funcionarios del poder judicial no abusan de sus funciones para obtener beneficios privados,Aguascalientes,0.5289985450475864,MX-AGU,2018
F2_2_1,"2.2.1.Ausencia de sobornos en la tramitacion de casos y procedimientos judiciales, en el otorgamiento de plazas, o para favorecer a alguna de las partes",Aguascalientes,0.6207275669642858,MX-AGU,2018
F2_2_2,"2.2.2.Ausencia de influencia indebida de poderes políticos o economicos, o del crimen organizado, para favorecer a alguna de las partes",Aguascalientes,0.5060271159999999,MX-AGU,2018
F2_2_3,2.2.3 Las personas perciben que los funcionarios del poder judicial del estado no incurren en actos de corrupcion.,Aguascalientes,0.46024095217847333,MX-AGU,2018
F2_3,2.3 Los funcionarios de los sistemas de seguridad y de procuracion de justicia no abusan de sus funciones para obtener beneficios privados,Aguascalientes,0.47454238340902083,MX-AGU,2018
F2_3_1,2.3.1.Ausencia de sobornos,Aguascalientes,0.675,MX-AGU,2018
F2_3_2,"2.3.2.Ausencia de influencia indebida de poderes políticos o economicos, o del crimen organizado",Aguascalientes,0.3869166725,MX-AGU,2018
F2_3_3,2.3.3 Las personas perciben que los funcionarios de los sistemas de seguridad y de procuracion de justicia no incurren en actos de corrupcion.,Aguascalientes,0.36171047772706255,MX-AGU,2018
F2_4,2.4 Los funcionarios del poder legislativo no abusan de sus funciones para obtener beneficios privados,Aguascalientes,0.30573433333333333,MX-AGU,2018
F3,Factor 3: Gobierno Abierto,Aguascalientes,0.42653241036114875,MX-AGU,2018
F3_1,3.1 Los ciudadanos participan activamente en la toma de decisiones,Aguascalientes,0.3466913570408468,MX-AGU,2018
F3_2,3.2 El derecho a la informacion publica se garantiza efectivamente,Aguascalientes,0.5063734636814506,MX-AGU,2018
F4,Factor 4: Derechos fundamentales,Aguascalientes,0.5577094487339027,MX-AGU,2018
F4_1,4.1 Trato igualitario y ausencia de discriminación,Aguascalientes,0.49803786419913415,MX-AGU,2018
F4_1_1,4.1.1 Ausencia de discriminación por nivel socioeconómico,Aguascalientes,0.40964852,MX-AGU,2018
F4_1_2,4.1.2 Ausencia de discriminación por genero,Aguascalientes,0.46442481904761906,MX-AGU,2018
F4_1_3,4.1.3 Ausencia de discriminación por identidad indigena,Aguascalientes,0.5188131571428571,MX-AGU,2018
F4_1_4,4.1.4 Ausencia de discriminación por credo,Aguascalientes,0.5282828399999999,MX-AGU,2018
F4_1_5,4.1.5 Ausencia de discriminación por condicion migratoria,Aguascalientes,0.49305555,MX-AGU,2018
F4_1_6,4.1.6 Ausencia de discriminación por orientacion sexual,Aguascalientes,0.50694445,MX-AGU,2018
F4_1_7,4.1.7 Ausencia de discriminación por discapacidad fisica,Aguascalientes,0.652777775,MX-AGU,2018
F4_1_8,4.1.8 Ausencia de discriminación por discapacidad intelectual,Aguascalientes,0.541666675,MX-AGU,2018
F4_1_9,4.1.9 Ausencia de discriminación por nivel educativo,Aguascalientes,0.45057472,MX-AGU,2018
F4_1_10,4.1.10 Ausencia de discriminación por color de piel,Aguascalientes,0.5525269500000001,MX-AGU,2018
F4_1_11,4.1.11 Ausencia de discriminación sistemica,Aguascalientes,0.35970105,MX-AGU,2018
F4_2,4.2 El derecho a la vida y a la seguridad de las personas se respeta efectivamente ,Aguascalientes,,MX-AGU,2018
F4_3,4.3 El debido proceso legal de los acusados se garantiza efectivamente,Aguascalientes,0.4920443605691368,MX-AGU,2018
F4_3_1,4.3.1. El derecho a la presuncion de inocencia se garantiza efectivamente,Aguascalientes,0.49089920833333334,MX-AGU,2018
F4_3_2,4.3.2. El principio de igualdad en el proceso penal y de ausencia de discriminacion se garantizan efectivamente,Aguascalientes,0.33838381818181823,MX-AGU,2018
F4_3_3,4.3.3. Los derechos de los imputados se garantizan efectivamente,Aguascalientes,0.5605111047619048,MX-AGU,2018
F4_3_4,4.3.4. El derecho a una defensa adecuada se garantiza efectivamente,Aguascalientes,0.4613530833333333,MX-AGU,2018
F4_3_5,4.3.5. El derecho a un juicio publico ante un juez competente e imparcial se garantiza efectivamente,Aguascalientes,0.6090745882352941,MX-AGU,2018
F4_4,4.4 El derecho a la libertad de opinion y expresión se garantiza efectivamente,Aguascalientes,0.6020174416666667,MX-AGU,2018
F4_4_1,4.4.1 Ciudadanos y organizaciones de la sociedad civil,Aguascalientes,0.5918809,MX-AGU,2018
F4_4_2,4.4.2 Prensa,Aguascalientes,0.691949225,MX-AGU,2018
F4_4_3,4.4.3 Partidos políticos,Aguascalientes,0.5222222,MX-AGU,2018
F4_5,4.5 El derecho a la libertad religiosa y de culto se garantiza efectivamente,Aguascalientes,0.7521551,MX-AGU,2018
F4_6,4.6 El derecho a la privacidad se garantiza efectivamente,Aguascalientes,0.66666665,MX-AGU,2018
